input,output
"Comment puis-je ouvrir un compte bancaire ?","Vous pouvez ouvrir un compte bancaire en ligne sur notre site web ou en visitant une de nos agences. Avez-vous besoin d'assistance pour choisir un type de compte ?"
"Quels documents sont nécessaires pour ouvrir un compte ?","Pour ouvrir un compte, vous aurez besoin d'une pièce d'identité valide, d'un justificatif de domicile récent et d'un justificatif de revenus si applicable."
"Puis-je avoir un compte joint ?","Oui, nous proposons des comptes joints. Chaque titulaire devra fournir les documents nécessaires et signer les formulaires d'ouverture."
"Comment vérifier mon solde ?","Vous pouvez vérifier votre solde via notre application mobile, notre site internet ou en appelant notre service client."
"Quels sont les horaires d'ouverture de vos agences ?","Nos agences sont ouvertes du lundi au vendredi de 9h00 à 17h00. Certaines agences ouvrent également le samedi matin."
"Comment commander un chéquier ?","Vous pouvez commander un chéquier directement depuis votre espace client en ligne ou en contactant notre service client."
"Comment signaler une carte bancaire perdue ?","Pour signaler une carte perdue, connectez-vous à votre espace client ou appelez immédiatement notre service d’opposition au 1234 567 890."
"Quelles sont vos offres de crédit immobilier ?","Nous proposons des crédits immobiliers avec des taux compétitifs. Souhaitez-vous être mis en relation avec un conseiller pour une simulation ?"
"Comment fonctionne l'épargne automatique ?","L'épargne automatique consiste à transférer un montant défini de votre compte courant vers votre compte épargne à une fréquence choisie. Vous pouvez paramétrer cette option via votre espace client."
"Comment modifier mon adresse postale ?","Pour modifier votre adresse postale, connectez-vous à votre espace client, rendez-vous dans la section 'Profil' et mettez à jour vos informations personnelles."
"Quels sont les frais de gestion pour un compte courant ?","Les frais de gestion pour un compte courant standard sont de 5 € par mois. Vous pouvez consulter tous les détails sur notre site web ou demander une brochure."
"Comment sécurisez-vous mes données personnelles ?","Nous utilisons des systèmes de cryptage avancés et respectons les normes de sécurité GDPR pour protéger vos données. Vous pouvez lire notre politique de confidentialité sur notre site web."
"Offrez-vous des cartes bancaires sans contact ?","Oui, toutes nos cartes bancaires incluent la fonctionnalité sans contact. Vous pouvez activer ou désactiver cette option dans votre espace client."
"Quels sont les avantages de votre carte premium ?","Notre carte premium offre des plafonds de paiement élevés, une assurance voyage incluse et un accès à des lounges dans les aéroports."
"Puis-je rembourser mon prêt par anticipation ?","Oui, il est possible de rembourser votre prêt par anticipation. Des frais peuvent s'appliquer selon les conditions de votre contrat. Souhaitez-vous en savoir plus ?"
"Quels sont les délais pour recevoir une carte bancaire ?","Une fois votre demande validée, vous recevrez votre carte bancaire sous 5 à 7 jours ouvrés à votre domicile."
"Puis-je activer ma carte bancaire à l'étranger ?","Oui, vous pouvez activer votre carte bancaire à l'étranger. Assurez-vous que votre carte est configurée pour les paiements internationaux dans votre espace client."
"Quels sont les taux d'intérêt pour un compte épargne ?","Les taux d'intérêt pour nos comptes épargne varient entre 0,5 % et 1,2 % en fonction du type de compte choisi. Souhaitez-vous comparer les options ?"
"Offrez-vous des assurances pour les prêts ?","Oui, nous proposons des assurances pour protéger vos prêts en cas d'imprévus. Souhaitez-vous être mis en relation avec un conseiller ?"
"Comment télécharger mon relevé bancaire ?","Connectez-vous à votre espace client, accédez à la section 'Relevés', et téléchargez le relevé de votre choix au format PDF."
"Comment puis-je contacter le service client ?","Vous pouvez nous contacter par téléphone au 1234 567 890, par e-mail à support@banque.fr, ou via le chat en ligne sur notre site."
"Puis-je annuler un virement ?","Si le virement est en attente, vous pouvez l'annuler via votre espace client. Si le virement est déjà effectué, il ne peut pas être annulé."
"Comment déclarer un litige sur une transaction ?","Vous pouvez déclarer un litige en remplissant le formulaire dans votre espace client ou en contactant notre service dédié au 1234 567 891."
"Quels types de prêts proposez-vous ?","Nous proposons des prêts personnels, des crédits immobiliers et des prêts auto. Souhaitez-vous en savoir plus sur l'un de ces produits ?"
